Cities,Forecast,Cloudiness (%),Country,Date,Humidity,Lat,Lng,Max Temperature (F),Wind Speed (mph)
rikitea,Rain,73.0,PF,2020-04-08 16:00:30,81.0,-23.12,-134.97,76.51,10.89
iquitos,Rain,75.0,PE,2020-04-08 16:05:07,83.0,-3.75,-73.25,82.4,3.36
khatanga,Clouds,100.0,RU,2020-04-08 16:00:37,97.0,71.97,102.5,29.37,11.61
florianopolis,Clear,0.0,BR,2020-04-08 16:05:07,64.0,-27.61,-48.5,72.0,12.75
andenes,Rain,100.0,NO,2020-04-08 16:05:07,93.0,69.31,16.12,35.6,25.28
mount darwin,Clouds,47.0,ZW,2020-04-08 16:05:07,61.0,-16.77,31.58,67.48,7.11
hanmer springs,Rain,99.0,NZ,2020-04-08 16:05:07,69.0,-42.52,172.82,45.68,2.75
bacolod,Clouds,20.0,PH,2020-04-08 16:05:07,75.0,10.67,122.95,76.95,6.44
mataura,Rain,100.0,NZ,2020-04-08 16:00:26,92.0,-46.19,168.86,51.01,11.01
ribeira grande,Clouds,40.0,PT,2020-04-08 16:00:37,82.0,38.52,-28.7,64.4,14.99
obo,Rain,93.0,CF,2020-04-08 15:55:54,68.0,5.4,26.49,74.3,1.54
longyearbyen,Clouds,20.0,SJ,2020-04-08 16:00:08,69.0,78.22,15.64,-7.6,4.7
araguacu,Rain,93.0,BR,2020-04-08 16:05:08,81.0,-12.93,-49.83,79.56,2.82
sivaki,Clear,0.0,RU,2020-04-08 16:05:08,91.0,52.63,126.75,26.91,6.89
cape town,Clouds,12.0,ZA,2020-04-08 15:56:14,67.0,-33.93,18.42,63.0,9.17
inirida,Rain,100.0,CO,2020-04-08 16:05:08,81.0,3.87,-67.92,84.2,1.36
anar darreh,,,,,,,,,
gizo,Rain,81.0,SB,2020-04-08 16:05:08,76.0,-8.1,156.84,82.72,8.52
ushuaia,Clouds,15.0,AR,2020-04-08 16:00:27,32.0,-54.8,-68.3,68.0,6.93
cherskiy,Clouds,53.0,RU,2020-04-08 15:57:40,90.0,68.75,161.3,-2.9,15.52
grand gaube,Clouds,40.0,MU,2020-04-08 16:01:00,74.0,-20.01,57.66,80.6,11.41
katsuura,Clear,0.0,JP,2020-04-08 16:01:38,71.0,35.13,140.3,55.4,11.41
verkhnyaya inta,Clouds,63.0,RU,2020-04-08 16:05:08,94.0,65.98,60.31,10.47,12.01
anaconda,Clear,1.0,US,2020-04-08 16:05:08,23.0,46.13,-112.94,50.0,4.7
arraial do cabo,Drizzle,90.0,BR,2020-04-08 15:57:33,94.0,-22.97,-42.03,69.8,5.82
makakilo city,Clouds,40.0,US,2020-04-08 16:03:11,69.0,21.35,-158.09,78.8,8.05
saint george,Clear,1.0,US,2020-04-08 15:58:41,26.0,37.1,-113.58,71.01,6.93
mitsamiouli,Clouds,16.0,KM,2020-04-08 16:05:08,71.0,-11.38,43.28,83.8,8.14
new norfolk,Clear,0.0,AU,2020-04-08 16:00:32,93.0,-42.78,147.06,44.01,5.82
lagoa,Clear,0.0,PT,2020-04-08 15:57:34,86.0,39.05,-27.98,60.96,11.3
troitsko-pechorsk,Clouds,100.0,RU,2020-04-08 16:05:09,96.0,62.71,56.2,22.73,6.29
aykhal,Clouds,89.0,RU,2020-04-08 16:02:02,43.0,66.0,111.5,35.6,8.95
aripuana,Rain,93.0,BR,2020-04-08 16:05:09,90.0,-9.17,-60.63,81.86,0.85
bluff,Rain,100.0,NZ,2020-04-08 16:00:40,92.0,-46.6,168.33,51.01,11.01
tessalit,Clear,0.0,ML,2020-04-08 16:00:30,11.0,20.2,1.01,81.88,6.11
san onofre,Clouds,99.0,CO,2020-04-08 16:05:09,60.0,9.74,-75.53,89.62,13.24
tasiilaq,Clouds,20.0,GL,2020-04-08 16:04:29,74.0,65.61,-37.64,28.4,16.11
hobart,Clear,0.0,AU,2020-04-08 16:00:02,93.0,-42.88,147.33,44.01,5.82
lasa,Clear,5.0,IT,2020-04-08 16:05:09,56.0,46.62,10.7,64.4,3.36
hermanus,Clouds,12.0,ZA,2020-04-08 15:57:40,68.0,-34.42,19.23,62.01,11.01
puerto madryn,Clear,0.0,AR,2020-04-08 16:05:09,22.0,-42.77,-65.04,72.0,25.93
hamilton,Clouds,40.0,US,2020-04-08 16:00:10,36.0,39.18,-84.53,81.0,14.99
victoria,Clouds,20.0,HK,2020-04-08 16:00:21,64.0,22.29,114.16,69.8,9.17
estelle,Clouds,75.0,US,2020-04-08 16:01:18,70.0,29.85,-90.11,88.0,16.11
torbay,Clouds,75.0,CA,2020-04-08 15:57:53,47.0,47.67,-52.73,36.0,12.75
ponta do sol,Clouds,20.0,PT,2020-04-08 16:02:22,77.0,32.67,-17.1,69.8,3.36
comodoro rivadavia,Clear,0.0,AR,2020-04-08 16:03:03,26.0,-45.87,-67.5,78.8,16.11
derzhavinsk,Clear,0.0,KZ,2020-04-08 16:05:09,87.0,51.1,66.32,29.35,12.06
markapur,Clouds,12.0,IN,2020-04-08 16:05:09,73.0,15.73,79.28,79.68,2.89
mareeba,Clouds,90.0,AU,2020-04-08 16:00:54,73.0,-17.0,145.43,73.4,8.05
esperance,Clear,0.0,AU,2020-04-08 16:00:41,63.0,-33.87,121.9,64.4,18.34
zarinsk,Clouds,100.0,RU,2020-04-08 16:05:10,88.0,53.71,84.95,33.33,3.02
saleaula,,,,,,,,,
codrington,Clear,3.0,AU,2020-04-08 16:05:10,86.0,-38.27,141.97,54.99,10.54
ronne,Clouds,99.0,DK,2020-04-08 16:05:10,72.0,55.1,14.71,46.4,16.11
thinadhoo,Clouds,100.0,MV,2020-04-08 16:05:10,69.0,0.53,72.93,84.61,7.85
cidreira,Rain,37.0,BR,2020-04-08 15:57:41,71.0,-30.18,-50.21,65.1,15.86
mahadday weyne,,,,,,,,,
puerto quijarro,Clouds,49.0,BO,2020-04-08 16:05:10,58.0,-17.78,-57.77,82.65,6.24
castro,Clear,0.0,BR,2020-04-08 15:57:18,46.0,-24.79,-50.01,62.56,1.83
sentyabrskiy,,,,,,,,,
attawapiskat,,,,,,,,,
ixtapa,Clouds,75.0,MX,2020-04-08 16:05:10,45.0,20.7,-105.2,86.0,10.29
san patricio,Clouds,20.0,MX,2020-04-08 16:01:27,69.0,19.22,-104.7,82.4,11.41
bredasdorp,Clouds,30.0,ZA,2020-04-08 16:00:59,77.0,-34.53,20.04,62.01,13.87
gyanpur,Clouds,45.0,IN,2020-04-08 16:05:10,28.0,25.35,82.47,78.58,0.98
imbituba,Clear,0.0,BR,2020-04-08 16:00:45,64.0,-28.24,-48.67,71.6,12.75
upernavik,Clear,7.0,GL,2020-04-08 16:00:39,86.0,72.79,-56.15,15.13,2.95
vardo,Clouds,40.0,NO,2020-04-08 16:01:16,69.0,70.37,31.11,37.4,17.22
misratah,Clear,0.0,LY,2020-04-08 16:05:10,67.0,32.38,15.09,59.09,10.11
yashalta,Clear,0.0,RU,2020-04-08 16:05:10,63.0,46.34,42.28,40.87,6.85
kahului,Clear,1.0,US,2020-04-08 16:05:11,57.0,20.89,-156.47,80.6,4.7
assomada,Clear,0.0,CV,2020-04-08 16:05:11,57.0,15.1,-23.68,78.8,20.8
mount gambier,Clear,10.0,AU,2020-04-08 16:00:56,100.0,-37.83,140.77,50.0,4.7
georgetown,Thunderstorm,40.0,MY,2020-04-08 15:58:06,83.0,5.41,100.34,82.4,3.36
peniche,Clouds,40.0,PT,2020-04-08 16:01:13,77.0,39.36,-9.38,63.0,5.82
provideniya,Clouds,47.0,RU,2020-04-08 15:57:30,71.0,64.38,-173.3,8.6,6.71
alofi,Rain,99.0,NU,2020-04-08 16:05:11,83.0,-19.06,-169.92,84.2,10.29
nanortalik,Clouds,98.0,GL,2020-04-08 15:56:17,84.0,60.14,-45.24,33.94,14.9
beaufort,Thunderstorm,75.0,MY,2020-04-08 16:05:11,88.0,5.35,115.75,80.6,2.24
boyabat,Clear,0.0,TR,2020-04-08 16:05:11,59.0,41.47,34.77,41.29,3.11
sabha,Clouds,39.0,LY,2020-04-08 16:05:11,23.0,27.04,14.43,65.68,11.05
evensk,Clouds,100.0,RU,2020-04-08 16:05:11,86.0,61.95,159.23,15.42,2.37
pevek,Snow,100.0,RU,2020-04-08 15:57:41,92.0,69.7,170.31,-3.39,5.59
santa cruz de tenerife,Clouds,14.0,ES,2020-04-08 16:05:11,72.0,28.47,-16.25,72.0,13.87
goderich,Clear,5.0,CA,2020-04-08 16:01:13,73.0,43.75,-81.72,59.0,2.1
moron,Clear,0.0,AR,2020-04-08 16:04:03,48.0,-34.65,-58.62,69.01,6.93
saskylakh,Clouds,97.0,RU,2020-04-08 15:59:35,98.0,71.92,114.08,22.84,3.87
mys shmidta,,,,,,,,,
anloga,Clouds,40.0,GH,2020-04-08 15:56:34,83.0,5.79,0.9,84.2,12.75
saint-philippe,Clear,1.0,RE,2020-04-08 16:05:11,73.0,-21.36,55.77,77.0,5.82
beringovskiy,Clear,0.0,RU,2020-04-08 16:00:09,88.0,63.05,179.32,12.83,1.95
roebourne,Clouds,57.0,AU,2020-04-08 16:05:11,64.0,-20.78,117.13,80.01,4.07
whitehorse,Clouds,75.0,CA,2020-04-08 16:02:04,63.0,60.72,-135.05,30.2,25.28
vanimo,Rain,95.0,PG,2020-04-08 15:56:27,83.0,-2.67,141.3,78.1,5.06
zhezkazgan,Clouds,21.0,KZ,2020-04-08 16:00:52,66.0,47.8,67.71,32.67,5.93
anori,Rain,100.0,BR,2020-04-08 16:05:12,95.0,-3.77,-61.64,76.6,1.43
bacuit,,,,,,,,,
ponta delgada,Clouds,20.0,PT,2020-04-08 16:01:09,88.0,37.73,-25.67,62.6,12.75
cheuskiny,,,,,,,,,
sechura,Clear,9.0,PE,2020-04-08 16:05:12,64.0,-5.56,-80.82,79.11,12.53
mantua,Clear,0.0,IT,2020-04-08 15:57:38,32.0,45.17,10.78,60.8,2.24
sinnamary,Rain,92.0,GF,2020-04-08 16:00:59,80.0,5.38,-52.95,80.38,12.73
narsaq,Clouds,75.0,GL,2020-04-08 16:05:12,24.0,60.92,-46.05,44.6,5.82
zhigalovo,Clear,0.0,RU,2020-04-08 16:05:12,73.0,54.81,105.16,34.12,2.77
nshamba,Clouds,89.0,TZ,2020-04-08 16:05:12,58.0,-1.8,31.55,62.35,3.18
tabuk,Clouds,28.0,PH,2020-04-08 16:05:12,83.0,17.42,121.44,70.43,2.57
nikolsk,Rain,37.0,RU,2020-04-08 16:05:12,86.0,53.72,46.07,40.08,6.11
megion,Clouds,40.0,RU,2020-04-08 16:05:12,73.0,61.03,76.11,24.8,22.37
marsa matruh,Clouds,20.0,EG,2020-04-08 16:00:24,67.0,31.35,27.25,59.0,8.05
tiarei,Rain,92.0,PF,2020-04-08 16:05:13,70.0,-17.53,-149.33,84.2,9.17
milkovo,Snow,99.0,RU,2020-04-08 16:05:13,92.0,54.72,158.62,22.95,1.88
jumla,Clear,2.0,NP,2020-04-08 16:01:33,27.0,29.27,82.18,40.06,4.12
plyussa,Clouds,91.0,RU,2020-04-08 16:05:13,62.0,58.43,29.37,42.55,7.76
malindi,Clear,7.0,KE,2020-04-08 16:05:13,76.0,-3.22,40.12,82.11,8.39
maarianhamina,Clouds,100.0,AX,2020-04-08 16:00:58,61.0,60.1,19.93,46.4,10.29
mayo,Clouds,20.0,US,2020-04-08 16:01:39,41.0,38.89,-76.51,79.0,14.99
mount isa,Clouds,100.0,AU,2020-04-08 15:57:41,31.0,-20.73,139.5,75.2,9.17
bengkulu,Rain,84.0,ID,2020-04-08 16:01:23,80.0,-3.8,102.27,77.23,4.52
olafsvik,Clouds,85.0,IS,2020-04-08 16:00:24,85.0,64.89,-23.71,33.58,5.26
faanui,Rain,69.0,PF,2020-04-08 16:04:38,75.0,-16.48,-151.75,83.16,13.11
maykain,,,,,,,,,
bethel,Clouds,90.0,US,2020-04-08 15:58:06,71.0,41.37,-73.41,60.01,4.7
nikolskoye,Clouds,100.0,RU,2020-04-08 16:00:28,42.0,59.7,30.79,48.2,8.95
pacific grove,Clouds,90.0,US,2020-04-08 16:05:13,67.0,36.62,-121.92,61.0,12.75
bubaque,Clear,0.0,GW,2020-04-08 16:05:13,74.0,11.28,-15.83,79.57,17.65
barrow,Clear,1.0,US,2020-04-08 16:00:28,83.0,71.29,-156.79,-7.6,9.17
pangnirtung,Clouds,20.0,CA,2020-04-08 16:00:41,73.0,66.15,-65.71,21.2,2.24
bandarbeyla,Clouds,19.0,SO,2020-04-08 15:53:15,64.0,9.49,50.81,80.51,7.02
goreloye,Clouds,46.0,RU,2020-04-08 16:05:13,84.0,52.94,41.5,45.19,6.85
san cristobal,Haze,40.0,VE,2020-04-08 16:00:54,50.0,7.77,-72.22,95.0,11.41
grande-riviere,,,,,,,,,
prince rupert,Rain,90.0,CA,2020-04-08 16:05:14,52.0,54.32,-130.32,44.6,16.11
cayenne,Clouds,75.0,GF,2020-04-08 15:57:35,66.0,4.93,-52.33,86.0,11.41
srikakulam,Clear,0.0,IN,2020-04-08 16:05:14,71.0,18.3,83.9,79.7,6.29
amderma,,,,,,,,,
opuwo,Clouds,42.0,NA,2020-04-08 16:05:14,26.0,-18.06,13.84,70.27,3.76
severo-kurilsk,Snow,100.0,RU,2020-04-08 16:01:15,97.0,50.68,156.12,31.55,7.58
saint anthony,Clouds,40.0,US,2020-04-08 16:00:43,27.0,45.02,-93.22,55.99,20.8
hasaki,Mist,20.0,JP,2020-04-08 16:00:40,93.0,35.73,140.83,48.2,8.05
rungata,,,,,,,,,
okhtyrka,Clear,3.0,UA,2020-04-08 16:05:14,70.0,50.31,34.9,45.63,6.4
kilindoni,Rain,85.0,TZ,2020-04-08 16:05:14,74.0,-7.91,39.67,84.11,11.39
nizhneyansk,,,,,,,,,
kalaiya,Clear,1.0,NP,2020-04-08 16:05:14,23.0,27.03,85.0,74.25,0.16
rabak,Clouds,14.0,SD,2020-04-08 16:05:14,12.0,13.18,32.74,91.51,5.06
egvekinot,Clear,5.0,RU,2020-04-08 16:04:55,85.0,66.32,-179.17,-3.69,2.35
guadalupe y calvo,Clouds,98.0,MX,2020-04-08 15:56:37,17.0,26.1,-106.97,69.28,15.66
laguna,Clear,1.0,US,2020-04-08 15:57:44,67.0,38.42,-121.42,66.0,5.82
lake ridge,Clouds,40.0,US,2020-04-08 16:05:14,41.0,38.69,-77.3,80.6,8.05
hithadhoo,Clouds,84.0,MV,2020-04-08 16:02:09,68.0,-0.6,73.08,84.83,10.27
sur,Clear,0.0,OM,2020-04-08 16:05:14,40.0,22.57,59.53,81.77,5.68
port alfred,Clouds,100.0,ZA,2020-04-08 16:00:32,66.0,-33.59,26.89,65.68,16.8
tazovskiy,Snow,95.0,RU,2020-04-08 16:05:14,97.0,67.47,78.7,23.81,20.27
kavieng,Rain,11.0,PG,2020-04-08 16:00:36,75.0,-2.57,150.8,82.99,5.48
port hardy,Clouds,40.0,CA,2020-04-08 16:05:15,75.0,50.7,-127.42,44.6,5.82
tsihombe,,,,,,,,,
betare oya,Rain,100.0,CM,2020-04-08 16:05:15,73.0,5.6,14.08,70.54,0.94
xunchang,Clouds,100.0,CN,2020-04-08 16:05:15,63.0,28.45,104.72,60.35,0.49
ingham,Clear,1.0,US,2020-04-08 16:05:15,42.0,42.6,-84.38,71.01,8.05
moerai,Clouds,100.0,PF,2020-04-08 16:05:15,77.0,-22.43,-151.33,80.83,11.77
husavik,Clear,2.0,IS,2020-04-08 16:05:15,74.0,66.04,-17.34,28.4,2.24
henties bay,Clear,0.0,NA,2020-04-08 16:01:19,91.0,-22.12,14.28,60.01,1.99
lerwick,Clear,3.0,GB,2020-04-08 16:05:15,70.0,60.15,-1.15,44.6,12.75
baruun-urt,Clear,0.0,MN,2020-04-08 16:05:15,65.0,46.68,113.28,24.46,4.41
saint-augustin,Snow,100.0,CA,2020-04-08 16:05:15,95.0,51.23,-58.65,26.42,12.21
finschhafen,Clear,6.0,PG,2020-04-08 16:05:15,73.0,-6.6,147.87,81.86,6.58
yashkino,Clouds,100.0,RU,2020-04-08 16:05:15,91.0,55.87,85.43,32.0,11.18
airai,Clouds,82.0,TL,2020-04-08 16:00:26,68.0,-8.93,125.41,60.37,1.52
sakakah,Clouds,84.0,SA,2020-04-08 16:05:15,20.0,29.97,40.21,73.4,11.41
vostok,Clouds,100.0,RU,2020-04-08 16:00:51,87.0,46.49,135.88,20.75,2.39
barentsburg,,,,,,,,,
kamaishi,Rain,97.0,JP,2020-04-08 16:04:51,74.0,39.27,141.88,44.19,7.2
hofn,Clouds,75.0,IS,2020-04-08 15:56:43,64.0,64.25,-15.21,35.6,6.93
thai nguyen,Mist,75.0,VN,2020-04-08 16:05:16,88.0,21.59,105.84,68.0,4.7
lorengau,Rain,72.0,PG,2020-04-08 15:54:04,80.0,-2.02,147.27,81.21,3.2
hienghene,Clouds,14.0,NC,2020-04-08 16:05:16,78.0,-20.68,164.93,77.07,11.65
khash,Clouds,57.0,IR,2020-04-08 16:05:16,23.0,28.22,61.22,67.32,5.57
portland,Clear,1.0,US,2020-04-08 15:56:45,50.0,45.52,-122.68,66.0,8.05
mayskiy,Clear,0.0,RU,2020-04-08 16:05:16,19.0,47.69,40.1,45.0,6.71
praia,Clear,0.0,CV,2020-04-08 15:55:29,57.0,14.92,-23.51,78.8,20.8
gangotri,,,,,,,,,
weihe,Clouds,13.0,CN,2020-04-08 16:05:16,53.0,33.0,105.32,46.9,0.87
vila franca do campo,Clouds,20.0,PT,2020-04-08 16:01:45,88.0,37.72,-25.43,62.6,12.75
outjo,Clouds,40.0,NA,2020-04-08 16:00:59,53.0,-20.12,16.15,71.6,3.36
tuatapere,Rain,100.0,NZ,2020-04-08 15:57:51,92.0,-46.13,167.68,50.0,8.99
pathein,Clouds,60.0,MM,2020-04-08 16:05:16,93.0,16.78,94.73,75.6,7.78
jiayuguan,Clear,0.0,CN,2020-04-08 16:05:16,26.0,39.82,98.3,43.5,0.89
sosnovo-ozerskoye,Clear,2.0,RU,2020-04-08 16:05:16,58.0,52.52,111.54,29.16,3.94
phun phin,,,,,,,,,
salalah,Clear,0.0,OM,2020-04-08 16:01:15,83.0,17.02,54.09,80.6,4.7
saldanha,Clouds,13.0,ZA,2020-04-08 15:56:19,33.0,-33.01,17.94,62.6,5.82
ginir,Clear,0.0,ET,2020-04-08 16:05:17,48.0,7.13,40.7,60.28,3.76
crab hill,,,,,,,,,
kudahuvadhoo,Clouds,92.0,MV,2020-04-08 16:05:17,66.0,2.67,72.89,84.2,7.99
salinas,Clouds,90.0,US,2020-04-08 16:02:41,76.0,36.68,-121.66,62.01,11.41
taruma,Clear,6.0,BR,2020-04-08 16:05:17,62.0,-22.75,-50.58,73.38,2.24
cortland,Clouds,90.0,US,2020-04-08 16:05:17,76.0,42.6,-76.08,57.0,9.17
belushya guba,,,,,,,,,
marsh harbour,Rain,34.0,BS,2020-04-08 16:05:15,74.0,26.54,-77.06,78.55,10.09
roma,Clouds,90.0,US,2020-04-08 15:58:52,76.0,43.21,-75.46,52.0,4.7
kamenskoye,,,,,,,,,
chara,Clouds,30.0,RU,2020-04-08 16:05:17,83.0,56.91,118.26,24.19,1.5
kungurtug,Clear,0.0,RU,2020-04-08 16:05:17,60.0,50.6,97.52,26.31,3.98
burnie,Clouds,55.0,AU,2020-04-08 16:05:17,88.0,-41.07,145.92,54.0,1.01
polaniec,Clear,0.0,PL,2020-04-08 16:04:50,50.0,50.43,21.28,59.0,5.82
labuhan,Rain,100.0,ID,2020-04-08 15:58:07,86.0,-6.88,112.21,77.18,3.87
kabo,Rain,100.0,CF,2020-04-08 16:05:17,60.0,7.7,18.63,78.15,5.7
nisia floresta,Clouds,20.0,BR,2020-04-08 16:04:57,74.0,-6.09,-35.21,84.2,8.05
nara,Clear,0.0,JP,2020-04-08 16:05:17,61.0,34.69,135.8,50.0,11.41
matara,Rain,57.0,LK,2020-04-08 16:01:40,88.0,5.95,80.54,77.04,4.07
krasnyy tekstilshchik,,,,,,,,,
blackwater,Clouds,58.0,AU,2020-04-08 16:00:42,77.0,-23.58,148.88,67.14,8.99
skibby,Clouds,52.0,DK,2020-04-08 16:05:18,81.0,55.75,11.96,50.0,5.82
la ronge,Snow,75.0,CA,2020-04-08 16:05:18,73.0,55.1,-105.28,19.4,18.34
katobu,Clouds,100.0,ID,2020-04-08 16:05:18,91.0,-4.94,122.53,74.61,0.83
zelenoborskiy,Clouds,84.0,RU,2020-04-08 16:05:18,88.0,66.84,32.36,34.2,11.27
vaitupu,,,,,,,,,
hambantota,Clouds,15.0,LK,2020-04-08 16:01:24,79.0,6.12,81.12,79.7,5.01
santa cruz,Clouds,75.0,BO,2020-04-08 16:01:24,42.0,-17.8,-63.17,86.0,14.99
vao,Clouds,31.0,NC,2020-04-08 16:05:18,72.0,-22.67,167.48,75.07,14.7
gander,Snow,75.0,CA,2020-04-08 16:04:46,91.0,48.97,-54.59,33.01,12.75
nichinan,Clouds,20.0,JP,2020-04-08 16:00:31,62.0,31.6,131.37,53.6,11.41
baykit,Rain,100.0,RU,2020-04-08 16:05:18,84.0,61.67,96.37,38.98,7.23
dickinson,Clouds,75.0,US,2020-04-08 16:05:02,66.0,29.46,-95.05,88.0,4.7
klaksvik,Clouds,43.0,FO,2020-04-08 15:57:42,74.0,62.23,-6.59,37.4,11.41
brigantine,Clouds,20.0,US,2020-04-08 16:01:12,59.0,39.41,-74.36,75.99,9.17
sao filipe,Clear,0.0,CV,2020-04-08 16:04:41,64.0,14.9,-24.5,77.11,16.71
